epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7962,2.71578,3.45098,1.14946,0.01929,0.38058,0.01794,0.00486,2.39851,3.77201,1.08578,0.00038,0.00038,0.00038
2,80.3101,2.48459,2.29672,1.08748,0.0146,0.28818,0.01057,0.00329,2.25149,3.45319,1.07937,0.000772278,0.000772278,0.000772278
3,119.603,2.27433,1.92489,1.07279,0.02337,0.46124,0.04789,0.0151,2.29185,3.18449,1.11314,0.00115664,0.00115664,0.00115664
4,161.391,2.40426,1.97981,1.06293,0.07209,0.63978,0.16747,0.05502,2.29587,2.82026,1.10499,0.00153307,0.00153307,0.00153307
5,202.718,2.32596,1.85315,1.04604,0.41048,0.28245,0.26166,0.08496,2.37285,2.55576,1.08297,0.00190159,0.00190159,0.00190159
6,241.805,2.36262,1.87974,1.05126,0.34057,0.36805,0.27135,0.09546,2.24992,2.24392,1.06352,0.001901,0.001901,0.001901
7,280.552,2.23676,1.72544,1.04687,0.53047,0.49279,0.45245,0.17607,2.11495,1.93309,1.06072,0.0018812,0.0018812,0.0018812
8,320.049,2.25952,1.72606,1.03067,0.45862,0.41895,0.38869,0.13994,2.20888,1.90279,1.05913,0.0018614,0.0018614,0.0018614
9,359.853,2.25581,1.72762,1.04247,0.47364,0.50352,0.43586,0.16917,2.14497,2.13046,1.04154,0.0018416,0.0018416,0.0018416
10,398.261,2.17768,1.68102,1.02981,0.56773,0.45973,0.46859,0.18411,2.22561,1.9889,1.08247,0.0018218,0.0018218,0.0018218
11,438.108,2.2791,1.7345,1.04099,0.51526,0.47063,0.45177,0.17289,2.23645,1.89448,1.09475,0.001802,0.001802,0.001802
12,477.094,2.2021,1.76521,1.06892,0.56528,0.49726,0.50674,0.20193,2.06766,1.7577,1.03353,0.0017822,0.0017822,0.0017822
13,519.152,2.1975,1.66141,1.01617,0.44698,0.49178,0.42188,0.14921,2.14601,1.77454,1.03882,0.0017624,0.0017624,0.0017624
14,562.095,2.2292,1.72165,1.03983,0.45045,0.47455,0.38952,0.141,2.22608,2.13779,1.04955,0.0017426,0.0017426,0.0017426
15,603.52,2.16771,1.7094,1.00448,0.49808,0.47377,0.43769,0.17137,2.0627,1.8039,1.02701,0.0017228,0.0017228,0.0017228
16,641.217,2.23047,1.7005,1.03225,0.52482,0.47847,0.47109,0.19267,2.0596,1.69274,1.04035,0.001703,0.001703,0.001703
17,679.294,2.13503,1.56755,1.03356,0.5116,0.50039,0.48476,0.20461,2.05954,1.78094,1.05278,0.0016832,0.0016832,0.0016832
18,716.611,2.14684,1.57295,1.02897,0.5253,0.48007,0.45948,0.1892,2.0866,1.79406,1.04999,0.0016634,0.0016634,0.0016634
19,754.692,2.14633,1.66099,1.00689,0.49794,0.49099,0.46336,0.18598,2.04618,1.77027,1.02699,0.0016436,0.0016436,0.0016436
20,793.476,2.20724,1.67246,1.02932,0.52555,0.50657,0.48828,0.1837,2.06439,2.07999,1.03322,0.0016238,0.0016238,0.0016238
21,830.956,2.09832,1.66416,1.02072,0.53053,0.49467,0.48884,0.1957,2.0617,1.68336,1.03485,0.001604,0.001604,0.001604
22,868.387,2.06709,1.60895,1.01719,0.55321,0.51057,0.51139,0.21302,2.06177,1.81895,1.04269,0.0015842,0.0015842,0.0015842
23,906.325,2.14025,1.60522,1.02013,0.46781,0.45341,0.41176,0.15275,2.13239,1.83364,1.03732,0.0015644,0.0015644,0.0015644
24,944.797,2.20966,1.59768,1.01663,0.51837,0.49021,0.48459,0.18628,2.10535,1.79479,1.03806,0.0015446,0.0015446,0.0015446
25,982.139,2.13896,1.61913,1.03083,0.54135,0.5137,0.50661,0.20432,2.03413,1.71843,1.03371,0.0015248,0.0015248,0.0015248
26,1019.01,2.11843,1.58843,1.02912,0.52924,0.49569,0.49353,0.20756,2.00755,1.59736,1.0277,0.001505,0.001505,0.001505
27,1056.02,2.14243,1.6305,1.0124,0.54246,0.5422,0.52117,0.21977,2.02812,1.61716,1.03674,0.0014852,0.0014852,0.0014852
28,1092.69,2.07554,1.5495,0.99647,0.50737,0.48943,0.45757,0.19533,2.02873,1.778,1.02891,0.0014654,0.0014654,0.0014654
29,1129.69,2.18994,1.56936,1.05447,0.47959,0.47701,0.44723,0.17256,2.09022,1.71053,1.03041,0.0014456,0.0014456,0.0014456
30,1166.73,2.11046,1.60395,1.02066,0.53911,0.52669,0.48265,0.20574,2.00707,1.66117,1.02391,0.0014258,0.0014258,0.0014258
31,1203.87,2.06608,1.59423,1.01017,0.53718,0.56852,0.53389,0.22147,1.95708,1.59954,1.01084,0.001406,0.001406,0.001406
